task_id,person_id,person_name,priority,task_type,primary_search_path,minimum_evidence,current_status,created_on,source_observation_id,branch,decision_rule,original_sheet,original_row
T003,,,Alta,Criar lote de faixas-pretas diretamente promovidos por Carlson Gracie com fonte rastreável.,"Acervos Carlson Gracie Team, perfis oficiais, imprensa.","Declaração direta, academia ou registro contemporâneo.",Em aberto,2026-07-05,,Carlson Gracie,Não importar listas sem URL e evidência.,Backlog Editorial,2
T004,,,Alta,Mapear faixas-pretas diretos e separar Gracie Barra como equipe de promoção formal.,"Gracie Barra, GB Institute, perfis próprios.","Página institucional, entrevista, diploma ou declaração do graduado.",Em aberto,2026-07-05,,Carlos Gracie Jr.,Afiliação não deve virar concessão automática.,Backlog Editorial,3
T005,,,Alta,"Confirmar cerimônias e fontes primárias para Renzo → Danaher, Danaher → Nicky Ryan e demais ramificações.","Renzo Gracie Academy, redes verificadas, entrevistas.","Post da academia, entrevista direta, vídeo de graduação ou declaração datada.",Em andamento,2026-07-05,,Renzo / Danaher,Fonte C já permite exibição com atribuição.,Backlog Editorial,4
T006,,,Alta,"Confirmar fontes diretas para Ramon → Mendes, Gui → Tainan e André → Kaynan.","Atos, AOJ, redes verificadas dos professores.","Post de graduação, academia ou declaração do atleta.",Em andamento,2026-07-05,,Atos / AOJ,Não chamar de 'concedida por' enquanto só houver 'under'.,Backlog Editorial,5
T007,,,Alta,"Completar alunos de Leandro Lo, sempre separando promoção, treino e afiliação.","NS Brotherhood, atletas e famílias.",Perfil próprio + postagem/declaração do graduado.,Em aberto,2026-07-05,,NS Brotherhood,Priorizar registros em memória do atleta.,Backlog Editorial,6
T008,,,Alta,"Priorizar Letícia → Bia, Drysdale → Michelle e demais ligações centrais com fontes diretas.","Perfis oficiais, academias, IBJJF, entrevistas.","Declaração das atletas, vídeo ou academia.",Em andamento,2026-07-05,,Ramo feminino,Garantir representatividade sem reduzir atletas a equipes.,Backlog Editorial,7
T011,,,Alta,"Criar formulário de sugestão com URL obrigatória, categoria da relação e aprovação humana.",Painel administrativo.,Ao menos uma URL e identificação do autor da sugestão.,Planejado,2026-07-05,,Contribuições do público,Nenhuma sugestão entra publicada automaticamente.,Backlog Editorial,8
T012,,,Alta,"Criar rotina para subir declaração, vídeo, diploma e recorte de imprensa com data e permissão.",Acervo interno / cloud privado.,Arquivo original + metadados.,Planejado,2026-07-05,,Fonte primária,Guardar hash do arquivo e termos de uso.,Backlog Editorial,9
T013,,,Alta,"Documentar e prevenir a confusão entre concessor da faixa-preta, mentor de formação e parceiro de treino de André Galvão.","Atos, GracieMag, entrevistas de Demian Maia, registros de graduação.",Fonte institucional ou declaração explícita; fonte contemporânea para vínculos complementares.,Concluído,2026-07-05,,Auditoria — André Galvão,Publicar Careca → André como faixa-preta; Tererê → André como formação/grau; não publicar Demian → André como linhagem.,Backlog Editorial,10
T015,,,Alta,Varrer todas as páginas oficiais de unidades e a página de black belts para importar cada faixa-preta explicitamente ligado a Eddie Bravo ou a outro graduador.,10th Planet official locations / black belts.,Página oficial que diga “black belt under” ou registro de graduação.,Em andamento,2026-07-05,,10th Planet — lote global,Afiliação 10th Planet não é prova de que Eddie entregou a preta.,Backlog Editorial,11
T016,,,Alta,Identificar e verificar os mais de 100 faixas-pretas formados por André Pederneiras sem usar listas sem fonte.,"Nova União, Combate, GracieMag, perfis de academia.","Entrevista/registro da academia, matéria contemporânea ou perfil do graduado citando André.",Em andamento,2026-07-05,,Nova União — 100+ graduados,Cadastrar somente fontes que distingam “treinou com” de “faixa-preta por”.,Backlog Editorial,12
T017,,,Alta,Mapear faixas-pretas diretos de Júlio César Pereira e os principais professores de cada filial internacional.,"GFTeam official, perfis próprios, entrevistas.","Fonte direta do graduado, site da filial ou declaração institucional.",Em aberto,2026-07-05,,GFTeam — expansão,Tratar a linha França–Fadda como contextual enquanto não houver documentação primária suficiente.,Backlog Editorial,13
T018,,,Alta,Confirmar por fontes primárias as faixas-pretas de Leo Vieira e Ricardo Vieira e sua ligação com Romero Cavalcanti.,"Checkmat, entrevistas dos irmãos Vieira, arquivos Alliance/Jacaré.","Entrevista direta, perfil oficial da Checkmat ou registro de graduação.",Em aberto,2026-07-05,,Checkmat — tronco,Não converter anos de treino com Jacaré em concessão sem prova específica.,Backlog Editorial,14
T019,,,Alta,"Extrair professores e graduados explicitamente descritos como faixas-pretas sob Carlos Gracie Jr. ou outros mestres GB, país por país.",Gracie Barra internacional e blogs regionais.,Biografia institucional ou perfil oficial do professor.,Em andamento,2026-07-05,,Gracie Barra — mapa mundial,Separar faixa-preta sob Carlos Jr. de certificação/membro GB.,Backlog Editorial,15
T022,,,Alta,Construir inventário da primeira e segunda geração de André e Angélica Galvão.,"Atos HQ, perfis de atletas, páginas de afiliadas.","Postagem de graduação, página oficial Atos ou entrevista do aluno.",Em aberto,2026-07-05,,Atos — lista de faixas-pretas diretos,Co-graduações devem conter todos os promotores.,Backlog Editorial,16
T023,,,Alta,"Completar diretos de Leo e Ricardo e, em seguida, a linhagem dos líderes de filiais.","Checkmat Academy, BJJ Heroes, sites de filiais e entrevistas.",Perfil do atleta ou professor indicando explicitamente a graduação.,Em aberto,2026-07-05,,Checkmat — troncos Leo/Ricardo,Não assumir que todo Checkmat veio dos irmãos Vieira.,Backlog Editorial,17
T024,,,Alta,"Mapear diretos de Júlio César, alunos de filiais e o caminho dos outros professores para o tronco Fadda.","GFTeam, atletas, imprensa especializada, acervo Fadda.",Fonte específica por pessoa; acervo institucional para a origem.,Em aberto,2026-07-05,,GFTeam — hierarquia regional,Origem Fadda permanece contextual enquanto a evidência histórica não fechar.,Backlog Editorial,18
T025,,,Alta,"Fechar a cadeia de André Pederneiras, Wendell Alexander e líderes de núcleos Kimura/Nova União.","Nova União, Kimura, perfis de atletas, imprensa.","Fonte de academia, entrevista ou declaração de graduação.",Em aberto,2026-07-05,,Nova União — jiu-jitsu e MMA,Não fundir o ramo de MMA com graduação BJJ sem prova.,Backlog Editorial,19
T026,,,Alta,Construir lote de alunos pretas diretamente concedidos por Carlson com fontes datadas.,"Carlson Gracie Team, arquivos de revistas, entrevistas longas.","Declaração do aluno, academia ou registro contemporâneo.",Em aberto,2026-07-05,,Carlson Gracie — inventário de primeira geração,Priorizar nomes que abriram equipes globais.,Backlog Editorial,20
T027,,,Alta,"Completar os diretos de Renzo e mapear a segunda geração de Danaher, Serra e Ralph.","Renzo Gracie Academy, atletas, professores associados.",Fonte direta/academia por graduação.,Em aberto,2026-07-05,,Renzo Gracie — rede mundial,Não confundir “treinou na RGA” com “faixa-preta de Renzo”.,Backlog Editorial,21
T028,,,Alta,"Mapear diretos de Saulo e Xande, distinguindo co-graduações.","Ribeiro Jiu-Jitsu, Six Blades, atletas e federações.","Postagem de graduação, perfil oficial ou entrevista.",Em aberto,2026-07-05,,Ribeiro / Six Blades,Co-graduações precisam manter os dois nomes.,Backlog Editorial,22
T001,,,Crítica,"Localizar fontes de época e fontes acadêmicas que esclareçam Maeda, Carlos Gracie e duração do treinamento.","Hemeroteca Digital, acervo de Belém, bibliografia acadêmica.","Hemeroteca, arquivo local ou estudo acadêmico com fontes primárias.",Em aberto,2026-07-05,,Tronco Maeda–Gracie,Não publicar como concessão de faixa-preta sem evidência específica.,Backlog Editorial,23
T002,,,Crítica,"Separar tradição oral, formação técnica e concessão formal no ramo França–Fadda.","Família Fadda, ALERJ, hemerotecas, pesquisadores.","Documento de época, diploma, entrevista familiar datada ou acervo institucional.",Em aberto,2026-07-05,,Linha França–Fadda,Manter contexto histórico até prova de graduação.,Backlog Editorial,24
T014,,,Crítica,"Confirmar por fonte primária quem concedeu a faixa-preta de Carlos Gracie Jr., pois fontes especializadas divergem entre Carlos Gracie Sr. e Hélio Gracie.","Gracie Barra, entrevistas históricas, acervo da família Gracie.","Declaração datada do próprio Carlos Jr., diploma, entrevista integral ou acervo familiar.",Em aberto,2026-07-05,,Tronco Carlos Gracie Jr.,Manter Carlos Jr. como tronco de equipe; não publicar um concessor único até validar.,Backlog Editorial,25
T020,,,Crítica,Extrair todos os faixas-pretas diretos de Eddie Bravo a partir das páginas oficiais de localização e anúncios de graduação.,"10th Planet locations, Instagram oficial, seminários, arquivos de eventos.","Página oficial, anúncio de graduação ou declaração de Eddie/atleta.",Em aberto,2026-07-05,,10th Planet — lista completa,Não tratar professor de filial como faixa-preta de Eddie sem fonte específica.,Backlog Editorial,26
T021,,,Crítica,Mapear faixas-pretas diretos de Carlos Gracie Jr. e vincular líderes regionais a ele ou aos respectivos professores.,"GB Institute, páginas de escola, entrevistas e biografias oficiais.","Perfil oficial GB, certificado/diploma, entrevista direta.",Em aberto,2026-07-05,,Gracie Barra — corpo de mestres,Separar fundador regional de graduador.,Backlog Editorial,27
T009,,,Média,"Completar cidade, país, anos, fotos licenciadas e páginas oficiais das 289 pessoas.","Sites oficiais, academias, IBJJF, entrevistas.",Duas fontes independentes ou uma fonte primária.,Em aberto,2026-07-05,,Metadados de pessoas,Fotos só com licença ou permissão.,Backlog Editorial,28
T010,,,Média,"Resolver nomes equivalentes, apelidos e acentos antes de abrir contribuição pública.",Fila de curadoria interna.,Revisão editorial e checagem de fontes.,Em aberto,2026-07-05,,Deduplicação,Não mesclar pessoas automaticamente apenas por nome parecido.,Backlog Editorial,29
T029,,,Média,Inventariar diretos de Royler e conexões de escolas internacionais.,"Gracie Humaitá, atletas, professores históricos.",Perfil direto com graduador identificado.,Em aberto,2026-07-05,,Gracie Humaitá / Royler,Não usar “Gracie Humaitá” como graduador.,Backlog Editorial,30
T030,,,Média,"Criar lista de equipes e faixas-pretas por país, começando por Brasil, EUA, Japão, Reino Unido, Portugal, Austrália e Canadá.","Diretórios de equipe, páginas oficiais, entrevistas.",Fonte local da academia ou do atleta.,Em aberto,2026-07-05,,Cobertura mundial por países,"Cada pessoa deve ter equipe e país, mesmo que a linha de graduação aguarde validação.",Backlog Editorial,31
T031,,,Média,"Priorizar faixas-pretas e professoras, garantindo representação histórica e co-graduações.","Perfis oficiais, BJJ Heroes, IBJJF e academias.","Declaração da atleta, academia ou registro da graduação.",Em aberto,2026-07-05,,Linhagens femininas,Não usar apenas títulos de competição como prova de graduação.,Backlog Editorial,32
