claim_id,student_person_id,promoter_person_id,student_name,teacher_name,relationship_type,claim_type,relationship_label,promotion_date,promotion_location,status,evidence_level,notes,original_status,publication_policy,original_sheet,original_row
R0374,P0433,P0213,Christopher Hargett,Alexandre 'Xande' Ribeiro,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Alta,Página institucional do The Flow Institute descreve Christopher Hargett como faixa-preta sob Xande Ribeiro.,Apoiado por fonte institucional,Exibir com atribuição,Relações v0.6,2
R0363,P0164,P0158,Kaynan Duarte,André Galvão,Faixa-preta concedida por,black_belt_awarded_by,Faixa-preta concedida por,,,pending_review,Alta,Atos HQ registra que Kaynan Duarte recebeu a faixa-preta no pódio por André Galvão em 2018.,Confirmado,Exibir,Relações v0.6,3
R0364,P0315,P0158,Nisar Loynab,André Galvão,Faixa-preta concedida por,black_belt_awarded_by,Faixa-preta concedida por,,,pending_review,Alta,Atos HQ registra que Nisar Loynab recebeu a faixa-preta do Professor André Galvão.,Confirmado,Exibir,Relações v0.6,4
R0361,P0321,P0158,Sarah Galvão,André Galvão,Faixa-preta concedida por,black_belt_awarded_by,Faixa-preta concedida por,,,pending_review,Alta,André Galvão relata que ele e Angélica Galvão promoveram Sarah Galvão à faixa-preta em 2025.,Confirmado,Exibir com co-graduação / atribuição,Relações v0.6,5
R0362,P0321,P0322,Sarah Galvão,Angélica Galvão,Faixa-preta concedida por,black_belt_awarded_by,Faixa-preta concedida por,,,pending_review,Alta,André Galvão relata que ele e Angélica Galvão promoveram Sarah Galvão à faixa-preta em 2025.,Confirmado,Exibir com co-graduação / atribuição,Relações v0.6,6
R0373,P0432,P0216,Marcia Carvalho,Carlos Gracie Jr.,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Alta,Página oficial da Gracie Barra descreve Marcia Carvalho como faixa-preta sob Carlos Gracie Jr.,Apoiado por fonte institucional,Exibir com atribuição,Relações v0.6,7
R0358,P0422,P0293,Amir Allam,Eddie Bravo,Faixa-preta concedida por,black_belt_awarded_by,Faixa-preta concedida por,,,pending_review,Alta,Página oficial da 10th Planet informa que Amir Allam recebeu a faixa-preta de Eddie Bravo em 2014.,Confirmado,Exibir,Relações v0.6,8
R0351,P0416,P0293,Denny Prokopos,Eddie Bravo,Faixa-preta concedida por,black_belt_awarded_by,Faixa-preta concedida por,,,pending_review,Alta,10th Planet registra Denny Prokopos como o primeiro integrante do sistema a receber faixa-preta de Eddie Bravo.,Confirmado,Exibir,Relações v0.6,9
R0354,P0418,P0293,Jeremy Fields,Eddie Bravo,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Alta,Página oficial da 10th Planet descreve Jeremy Fields como faixa-preta de Eddie Bravo.,Apoiado por fonte institucional,Exibir com atribuição,Relações v0.6,10
R0352,P0417,P0293,Kyle Boehm,Eddie Bravo,Faixa-preta sob professores (fonte cita múltiplos),black_belt_awarded_by,Faixa-preta sob professores (fonte cita múltiplos),,,pending_review,Alta,Página oficial da 10th Planet descreve Kyle Boehm como faixa-preta sob Eddie Bravo e John Botello.,Confirmado,Exibir com co-graduação / atribuição,Relações v0.6,11
R0355,P0419,P0293,Manu Perez,Eddie Bravo,Faixa-preta sob professores (fonte cita múltiplos),black_belt_awarded_by,Faixa-preta sob professores (fonte cita múltiplos),,,pending_review,Alta,Página oficial da 10th Planet descreve Manu Perez como faixa-preta sob Eddie Bravo e Mick Broster.,Confirmado,Exibir com co-graduação / atribuição,Relações v0.6,12
R0359,P0423,P0293,Omar Ocasio,Eddie Bravo,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Alta,Página oficial da 10th Planet identifica Omar Ocasio como faixa-preta de Eddie Bravo.,Apoiado por fonte institucional,Exibir com atribuição,Relações v0.6,13
R0357,P0421,P0293,Victor Davila,Eddie Bravo,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Alta,Página oficial da 10th Planet descreve Victor Davila como faixa-preta sob Eddie Bravo.,Apoiado por fonte institucional,Exibir com atribuição,Relações v0.6,14
R0353,P0417,P0296,Kyle Boehm,John Botello,Faixa-preta sob professores (fonte cita múltiplos),black_belt_awarded_by,Faixa-preta sob professores (fonte cita múltiplos),,,pending_review,Alta,Página oficial da 10th Planet descreve Kyle Boehm como faixa-preta sob Eddie Bravo e John Botello.,Confirmado,Exibir com co-graduação / atribuição,Relações v0.6,15
R0368,P0427,P0192,Mike Jaramillo,John Danaher,Faixa-preta sob professores (fonte cita múltiplos),black_belt_awarded_by,Faixa-preta sob professores (fonte cita múltiplos),,,pending_review,Alta,Renzo Gracie Academy descreve Mike Jaramillo como faixa-preta sob Renzo Gracie e John Danaher.,Confirmado,Exibir com co-graduação / atribuição,Relações v0.6,16
